REGN;C1_2;C2_2
249;ПК1;1887084,00
249;ПК2;1887084,00
249;РР0;2535808,00
249;РР1;2535808,00
249;РР2;2535808,00
249;ПР0;155145,54
249;ПР1;155145,54
249;ОПР1;99104,30
249;СПР1;56041,24
249;ФР1;29018,86
249;ОФР1;14509,43
249;СФР1;14509,43
249;ОПР0;99104,30
249;ПР2;155145,54
249;ОПР2;99104,30
249;СПР2;56041,24
249;ФР2;29018,86
249;ОФР2;14509,43
249;СФР2;14509,43
249;СПР0;56041,24
249;ФР0;29018,86
249;ОФР0;14509,43
249;ТР;0,00
249;ОТР;0,00
249;ДТР;0,00
249;ГВР(ТР);0,00
249;ГВР(ВР);0,00
249;ГВР(ПР);0,00
249;ГВР(ФР);0,00
249;СФР0;14509,43
249;ВР;18700,28
254;Ар1.0;1277746,00
254;Ар1.1;1277746,00
254;Ар1.2;1277746,00
254;Ар2.0;543436,00
254;Ар2.1;543436,00
254;Ар2.2;543436,00
254;Ар3.0;13821,00
254;Ар3.1;13821,00
254;Ар3.2;13821,00
254;Ар4.0;13351095,00
254;Ар4.1;13234635,00
254;Ар4.2;13234635,00
254;Ариск0;1277746,00
254;Кф;1,00
254;Крд;5990650,00
254;Крис;35449,00
254;Кскр;6105265,00
254;Лам;3386981,00
254;Лат;5562389,00
254;ОД;2342530,00
254;Овм;5933310,00
254;Овт;7575119,00
254;ПК0;1562963,00
254;ПК1;1562963,00
254;ПК2;1562963,00
254;РР0;2897033,00
254;РР1;2897033,00
254;РР2;2897033,00
254;ПР0;223712,18
254;ПР1;223712,18
254;ОПР1;52909,93
254;СПР1;170802,25
254;ФР1;110,40
254;ОФР1;55,20
254;СФР1;55,20
254;ОПР0;52909,93
254;ПР2;223712,18
254;ОПР2;52909,93
254;СПР2;170802,25
254;ФР2;110,40
254;ОФР2;55,20
254;СФР2;55,20
254;СПР0;170802,25
254;ФР0;110,40
254;ОФР0;55,20
254;ТР;7940,09
254;ОТР;6616,74
254;ДТР;1323,35
254;СФР0;55,20
254;ВР;0,00
256;Ар1.0;849146,00
256;Ар1.1;849146,00
256;Ар1.2;849146,00
256;Ар2.0;1899,00
256;Ар2.1;1899,00
256;Ар2.2;1899,00
256;Ар3.0;87897,00
256;Ар3.1;87897,00
256;Ар3.2;87897,00
256;Ар4.0;977823,00
256;Ар4.1;917846,00
256;Ар4.2;917846,00
256;Ар5.0;0,00
256;Ар5.1;0,00
256;Ар5.2;0,00
256;Ариск0;849146,00
256;БК;0,00
256;Кф;1,01
256;Кинс;0,00
256;Крд;198065,00
256;КРФмп0;0,00
256;КРФрп0;0,00
256;КРФсп0;0,00
256;КРФмп1;0,00
256;КРФрп1;0,00
256;КРФсп1;0,00
256;КРФмп2;0,00
256;КРФрп2;0,00
256;КРФсп2;0,00
256;Крис;19992,00
256;Кскр;1364908,00
256;Лам;2490081,00
256;Лат;5568148,00
256;ОД;97500,00
256;Овм;2467640,00
256;Овт;2480343,00
256;ПК0;17489,00
256;ПК1;17489,00
256;ПК2;17489,00
256;РР0;1198475,00
256;РР1;1198475,00
256;РР2;1198475,00
256;ПР0;95878,03
256;ПР1;95878,03
256;ОПР1;88720,98
256;СПР1;7157,05
256;ФР1;0,00
256;ОФР1;0,00
256;СФР1;0,00
256;ОПР0;88720,98
256;ПР2;95878,03
256;ОПР2;88720,98
256;СПР2;7157,05
256;ФР2;0,00
256;ОФР2;0,00
256;СФР2;0,00
256;СПР0;7157,05
256;ФР0;0,00
256;ОФР0;0,00
256;ТР;0,00
256;ОТР;0,00
256;ДТР;0,00
256;ГВР(ТР);0,00
256;ГВР(ВР);0,00
256;ГВР(ПР);0,00
256;ГВР(ФР);0,00
256;СФР0;0,00
256;ВР;0,00
272;Ар1.0;912276,00
272;Ар1.2;912276,00
272;Ар2.0;1908,00
272;Ар2.2;1908,00
272;Ар3.0;0,00
272;Ар3.2;0,00
272;Ар4.0;1111126,00
272;Ар4.2;924101,00
