date,bas_dep
2019-10-05,63499135.0
2019-10-10,63499135.0
2019-10-15,63499135.0
2019-10-20,63499135.0
2019-10-25,63499135.0
2019-10-28,63499135.0
2019-11-01,63639758.0
2019-11-05,63639758.0
2019-11-10,63639758.0
2019-11-15,63639758.0
2019-11-20,63639758.0
2019-11-25,63639758.0
2019-11-28,63639758.0
2019-12-01,64034218.0
2019-12-05,64034218.0
2019-12-10,64034218.0
2019-12-15,64034218.0
2019-12-20,64034218.0
2019-12-25,64034218.0
2019-12-28,64034218.0
2020-01-01,63624267.0
2020-01-05,63624267.0
2020-01-10,63624267.0
2020-01-15,63624267.0
2020-01-20,63624267.0
2020-01-25,63624267.0
2020-01-28,63624267.0
2020-02-01,64035076.0
2020-02-05,64035076.0
2020-02-10,64035076.0
2020-02-15,64035076.0
2020-02-20,64035076.0
2020-02-25,64035076.0
2020-02-28,64035076.0
2020-03-01,64858383.0
2020-03-05,64858383.0
2020-03-10,64858383.0
2020-03-15,64858383.0
2020-03-20,64858383.0
2020-03-25,64858383.0
2020-03-28,64858383.0
2020-04-01,68434888.0
2020-04-05,68434888.0
2020-04-10,68434888.0
2020-04-15,68434888.0
2020-04-20,68434888.0
2020-04-25,68434888.0
2020-04-28,68434888.0
2020-05-01,67601533.0
2020-05-05,67601533.0
2020-05-10,67601533.0
2020-05-15,67601533.0
2020-05-20,67601533.0
2020-05-25,67601533.0
2020-05-28,67601533.0
2020-06-01,66860018.0
2020-06-05,66860018.0
2020-06-10,66860018.0
2020-06-15,66860018.0
2020-06-20,66860018.0
2020-06-25,66860018.0
2020-06-28,66860018.0
2020-07-01,67667780.0
